Name,UrlFBref
Naby Keita,https://fbref.com/en/players/f25c8e3a/Naby-Keita
David Alaba,https://fbref.com/en/players/05439de2/David-Alaba
Rasmus Hojlund,https://fbref.com/en/players/491a433d/Rasmus-Hojlund
Alvaro Morata,https://fbref.com/en/players/129af0db/Alvaro-Morata
Kingsley Coman,https://fbref.com/en/players/042e8a49/Kingsley-Coman
Milan Skriniar,https://fbref.com/en/players/30f5ffa9/Milan-Skriniar
Anthony Martial,https://fbref.com/en/players/8b788c01/Anthony-Martial
Cristian Romero,https://fbref.com/en/players/a3d94a58/Cristian-Romero
Richarlison,https://fbref.com/en/players/fa031b34/Richarlison
Nuno Mendes,https://fbref.com/en/players/f20e4cc9/Nuno-Mendes
Ollie Watkins,https://fbref.com/en/players/aed3a70f/Ollie-Watkins
Wayne Rooney,https://fbref.com/en/players/f07be45a/Wayne-Rooney
Jeremy Doku,https://fbref.com/en/players/fffea3e5/Jeremy-Doku
Wesley Fofana,https://fbref.com/en/players/132a82f1/Wesley-Fofana
Jorginho,https://fbref.com/en/players/45db685d/Jorginho
Angel Di Maria,https://fbref.com/en/players/19cda00b/Angel-Di-Maria
Stefan de Vrij,https://fbref.com/en/players/d0d8dd44/Stefan-de-Vrij
Diego Costa,https://fbref.com/en/players/a190d597/Diego-Costa
Riyad Mahrez,https://fbref.com/en/players/892d5bb1/Riyad-Mahrez
Allan,https://fbref.com/en/players/cc700722/Allan
Davinson Sanchez,https://fbref.com/en/players/da7b447d/Davinson-Sanchez
Warren Zaire Emery,https://fbref.com/en/players/6b9960cf/Warren-Zaire-Emery
Theo Hernandez,https://fbref.com/en/players/d4c9725f/Theo-Hernandez
Anthony Gordon,https://fbref.com/en/players/2bd83368/Anthony-Gordon
Sergi Roberto,https://fbref.com/en/players/335fa267/Sergi-Roberto
Diogo Jota,https://fbref.com/en/players/178ae8f8/Diogo-Jota
Moussa Diaby,https://fbref.com/en/players/aeed5c06/Moussa-Diaby
Takefusa Kubo,https://fbref.com/en/players/16aa3654/Takefusa-Kubo
Dani Olmo,https://fbref.com/en/players/ae44e8e2/Dani-Olmo
Mykhailo Mudryk,https://fbref.com/en/players/049a888d/Mykhailo-Mudryk
Lois Openda,https://fbref.com/en/players/8652a85c/Lois-Openda
Dani Carvajal,https://fbref.com/en/players/4958bfb2/Dani-Carvajal
Gleison Bremer,https://fbref.com/en/players/5fd5ed86/Gleison-Bremer
Kepa Arrizabalaga,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga
Dejan Kulusevski,https://fbref.com/en/players/df3cda47/Dejan-Kulusevski
Jules Kounde,https://fbref.com/en/players/4d1666ff/Jules-Kounde
Kim Min jae,https://fbref.com/en/players/e0f8151c/Kim-Min-jae
Karim Benzema,https://fbref.com/en/players/70d74ece/Karim-Benzema
Dayot Upamecano,https://fbref.com/en/players/d248cd8f/Dayot-Upamecano
Christian Pulisic,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
Eberechi Eze,https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze
Wilfred Ndidi,https://fbref.com/en/players/6b47c5db/Wilfred-Ndidi
Raphael Dias Belloli,https://fbref.com/en/players/3423f250/Raphael-Dias-Belloli
Joao Palhinha,https://fbref.com/en/players/a78ff07f/Joao-Palhinha
Edinson Cavani,https://fbref.com/en/players/527f063d/Edinson-Cavani
Omar Marmoush,https://fbref.com/en/players/0e0102eb/Omar-Marmoush
Marcelo Brozovic,https://fbref.com/en/players/33b8d077/Marcelo-Brozovic
Raphinha,https://fbref.com/en/players/3423f250/Raphinha
Endrick,https://fbref.com/en/players/a2728fbf/Endrick
Joao Neves,https://fbref.com/en/players/c2a15a27/Joao-Neves
Mats Hummels,https://fbref.com/en/players/05d548d8/Mats-Hummels
Martin Zubimendi,https://fbref.com/en/players/3ee0dd59/Martin-Zubimendi
Luka Jovic,https://fbref.com/en/players/4d8cd038/Luka-Jovic
Niklas Sule,https://fbref.com/en/players/e33c06cf/Niklas-Sule
Clement Lenglet,https://fbref.com/en/players/4f28a6ff/Clement-Lenglet
John Stones,https://fbref.com/en/players/5eecec3d/John-Stones
Federico Dimarco,https://fbref.com/en/players/970b8574/Federico-Dimarco
Cody Gakpo,https://fbref.com/en/players/1971591f/Cody-Gakpo
Fabian Ruiz Pena,https://fbref.com/en/players/c0c7ff58/Fabian-Ruiz-Pena
Jonathan David,https://fbref.com/en/players/ce50fd99/Jonathan-David
Sandro Tonali,https://fbref.com/en/players/0db169ae/Sandro-Tonali
Douglas Costa,https://fbref.com/en/players/4fa7cb9b/Douglas-Costa
Nicolo Zaniolo,https://fbref.com/en/players/9907b1c8/Nicolo-Zaniolo
Matheus Nunes,https://fbref.com/en/players/e6af02e0/Matheus-Nunes
Houssem Aouar,https://fbref.com/en/players/a5db0bec/Houssem-Aouar
Amadou Onana,https://fbref.com/en/players/828657ff/Amadou-Onana
Ryan Gravenberch,https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch
Vitinha,https://fbref.com/en/players/3b029691/Vitinha
Ademola Lookman,https://fbref.com/en/players/7c104bb7/Ademola-Lookman
Marc Cucurella,https://fbref.com/en/players/1daec722/Marc-Cucurella
Wilfried Zaha,https://fbref.com/en/players/b2bc3b1f/Wilfried-Zaha
Mickey van de Ven,https://fbref.com/en/players/8fe2a392/Mickey-van-de-Ven
Teun Koopmeiners,https://fbref.com/en/players/a26fb8aa/Teun-Koopmeiners
Donny van de Beek,https://fbref.com/en/players/50dc94ce/Donny-van-de-Beek
Levi Colwill,https://fbref.com/en/players/700783e7/Levi-Colwill
Franck Kessie,https://fbref.com/en/players/05e19d6a/Franck-Kessie
Youri Tielemans,https://fbref.com/en/players/56f7a928/Youri-Tielemans
Memphis Depay,https://fbref.com/en/players/8f696594/Memphis-Depay
Memphis,https://fbref.com/en/players/8f696594/Memphis
Kobbie Mainoo,https://fbref.com/en/players/c6220452/Kobbie-Mainoo
Luis Alberto,https://fbref.com/en/players/5294a83f/Luis-Alberto
Luka Modric,https://fbref.com/en/players/6025fab1/Luka-Modric
Lucas Torreira,https://fbref.com/en/players/52611641/Lucas-Torreira
Leny Yoro,https://fbref.com/en/players/6763f716/Leny-Yoro
Cesc Fabregas,https://fbref.com/en/players/33508c78/Cesc-Fabregas
Mario Gotze,https://fbref.com/en/players/9efa1d25/Mario-Gotze
Ben White,https://fbref.com/en/players/35e413f1/Ben-White
Pedro Neto,https://fbref.com/en/players/7ba2eaa9/Pedro-Neto
Nicolas Jackson,https://fbref.com/en/players/9c36ed83/Nicolas-Jackson
Micky van de Ven,https://fbref.com/en/players/8fe2a392/Micky-van-de-Ven
Arnaut Groeneveld,https://fbref.com/en/players/f08490a6/Arnaut-Groeneveld
Rodrigo Bentancur,https://fbref.com/en/players/3b8674e6/Rodrigo-Bentancur
Lisandro Martinez,https://fbref.com/en/players/bac46a10/Lisandro-Martinez
Ivan Toney,https://fbref.com/en/players/e09f279b/Ivan-Toney
Castello Lukeba,https://fbref.com/en/players/5b9512c5/Castello-Lukeba
Kalvin Phillips,https://fbref.com/en/players/4f565d77/Kalvin-Phillips
Kudus Mohammed,https://fbref.com/en/players/b62878a5/Kudus-Mohammed
Kaoru Mitoma,https://fbref.com/en/players/74618572/Kaoru-Mitoma
Giovani Lo Celso,https://fbref.com/en/players/d7553721/Giovani-Lo-Celso
Rodrigo,https://fbref.com/en/players/1fb1c435/Rodrigo
Raul Jimenez,https://fbref.com/en/players/b561db50/Raul-Jimenez
Moussa Dembele,https://fbref.com/en/players/e7986081/Moussa-Dembele
Diego Carlos,https://fbref.com/en/players/b4a014b1/Diego-Carlos
Mikel Merino,https://fbref.com/en/players/d080ed5e/Mikel-Merino
Piotr Zielinski,https://fbref.com/en/players/a5296e55/Piotr-Zielinski
Joao Pedro,https://fbref.com/en/players/e8832875/Joao-Pedro
Bryan Mbeumo,https://fbref.com/en/players/6afaebf2/Bryan-Mbeumo
Mesut Ozil,https://fbref.com/en/players/16380240/Mesut-Ozil
Aleksandar Pavlovic,https://fbref.com/en/players/2658c82f/Aleksandar-Pavlovic
Mason Greenwood,https://fbref.com/en/players/58eee997/Mason-Greenwood
Carlos Soler,https://fbref.com/en/players/fed17f5a/Carlos-Soler
Granit Xhaka,https://fbref.com/en/players/e61b8aee/Granit-Xhaka
Kyle Walker,https://fbref.com/en/players/86dd77d1/Kyle-Walker
Brennan Johnson,https://fbref.com/en/players/0cd31129/Brennan-Johnson
Goncalo Ramos,https://fbref.com/en/players/f63cda26/Goncalo-Ramos
Amine Gouiri,https://fbref.com/en/players/aad56ca3/Amine-Gouiri
Ilkay Gundogan,https://fbref.com/en/players/819b3158/Ilkay-Gundogan
Tijjani Reijnders,https://fbref.com/en/players/afb61630/Tijjani-Reijnders
Alejandro Garnacho,https://fbref.com/en/players/7aa8adfe/Alejandro-Garnacho
Benjamin Pavard,https://fbref.com/en/players/45a03961/Benjamin-Pavard
Hakim Ziyech,https://fbref.com/en/players/6622454d/Hakim-Ziyech
Ciro Immobile,https://fbref.com/en/players/4431aed2/Ciro-Immobile
Benjamin Sesko,https://fbref.com/en/players/3260690c/Benjamin-Sesko
Arnaut Danjuma,https://fbref.com/en/players/f08490a6/Arnaut-Danjuma
Marco Reus,https://fbref.com/en/players/36a3ff67/Marco-Reus
Ferland Mendy,https://fbref.com/en/players/3cefcaef/Ferland-Mendy
Mathys Tel,https://fbref.com/en/players/829aa60c/Mathys-Tel
Wissam Ben Yedder,https://fbref.com/en/players/942b4f90/Wissam-Ben-Yedder
Suso,https://fbref.com/en/players/4e219ad2/Suso
